LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,MSEstm,stmDrtn,stmDly,MSEstmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS,MI,Thresholded
80,180619,1,1,NaN,NaN,200,2,1,0,1,20,400,NaN,5,4,14,47,33,NaN,,0.0105263157894737,0
80,180619,1,1,NaN,NaN,200,2,1,1,1,20,400,NaN,5,2,17,48,31,NaN,,0.0105263157894737,0
80,180619,1,1,NaN,NaN,175,2,1,0,1,40,400,NaN,5,1,19,46,27,NaN,,0.106796116504854,0
80,180619,1,1,NaN,NaN,175,2,1,1,1,40,400,NaN,5,1,7,57,50,NaN,,0.106796116504854,0
80,180619,1,1,NaN,NaN,175,2,1,0,1,60,400,NaN,5,0,20,53,33,NaN,,-0.558823529411765,1
80,180619,1,1,NaN,NaN,175,2,1,1,1,60,400,NaN,0,0,0,15,0,NaN,,-0.558823529411765,1
80,180619,1,1,NaN,NaN,175,2,1,1,1,60,400,NaN,0,0,0,15,0,NaN,,-0.605263157894737,1
80,180619,1,1,NaN,NaN,175,2,1,0,1,60,400,NaN,5,2,21,61,26,NaN,,-0.605263157894737,1
80,180619,1,1,NaN,NaN,175,2,1,1,1,40,400,NaN,0,0,0,12,0,NaN,,-0.647058823529412,1
80,180619,1,1,NaN,NaN,175,2,1,0,1,40,400,NaN,5,0,20,56,36,NaN,,-0.647058823529412,1
80,180619,1,1,NaN,NaN,175,2,1,1,1,40,400,NaN,0,0,0,23,0,NaN,,-0.44578313253012,1
80,180619,1,1,NaN,NaN,175,2,1,0,1,40,400,NaN,5,0,21,60,39,NaN,,-0.44578313253012,1
80,180619,1,1,NaN,NaN,175,2,1,1,1,20,400,NaN,0,0,0,23,0,NaN,,-0.41025641025641,1
80,180619,1,1,NaN,NaN,175,2,1,0,1,20,400,NaN,5,0,19,55,36,NaN,,-0.41025641025641,1
80,180619,1,1,NaN,NaN,175,2,1,1,1,0,400,NaN,0,0,0,19,0,NaN,,-0.506493506493506,1
80,180619,1,1,NaN,NaN,175,2,1,0,1,0,400,NaN,5,1,28,58,30,NaN,,-0.506493506493506,1
80,180620,1,1,NaN,NaN,175,2,1,0,1,0,400,NaN,5,1,13,57,44,NaN,,-0.461538461538462,1
80,180620,1,1,NaN,NaN,175,2,1,1,1,0,400,NaN,0,0,0,21,0,NaN,,-0.461538461538462,1
80,180620,1,1,NaN,NaN,175,2,1,0,1,20,400,NaN,5,0,13,55,29,NaN,,-0.157894736842105,0
80,180620,1,1,NaN,NaN,175,2,1,1,1,20,400,NaN,5,0,17,40,19,NaN,,-0.157894736842105,0
80,180620,1,1,NaN,NaN,175,2,1,0,1,40,400,NaN,5,0,14,50,32,NaN,,0.12280701754386,0
80,180620,1,1,NaN,NaN,175,2,1,1,1,40,400,NaN,5,2,25,64,30,NaN,,0.12280701754386,0
80,180620,1,1,NaN,NaN,150,2,1,0,1,60,400,NaN,5,1,16,90,34,NaN,,-0.343283582089552,1
80,180620,1,1,NaN,NaN,150,2,1,1,1,60,400,NaN,5,0,17,44,27,NaN,,-0.343283582089552,1
80,180620,1,1,NaN,NaN,140,2,1,1,1,60,400,NaN,0,0,0,26,0,NaN,,-0.415730337078652,1
80,180620,1,1,NaN,NaN,140,2,1,0,1,60,400,NaN,5,3,21,63,40,NaN,,-0.415730337078652,1
80,180620,1,1,NaN,NaN,175,2,1,1,1,40,400,NaN,0,0,0,10,0,NaN,,-0.710144927536232,1
80,180620,1,1,NaN,NaN,175,2,1,0,1,40,400,NaN,5,0,21,59,29,NaN,,-0.710144927536232,1
80,180620,1,1,NaN,NaN,175,2,1,1,1,20,400,NaN,0,0,0,19,0,NaN,,-0.506493506493506,1
80,180620,1,1,NaN,NaN,175,2,1,0,1,20,400,NaN,5,0,22,58,20,NaN,,-0.506493506493506,1
80,180620,1,1,NaN,NaN,175,2,1,1,1,0,400,NaN,0,0,0,18,0,NaN,,-0.712,1
80,180620,1,1,NaN,NaN,175,2,1,0,1,0,400,NaN,5,0,21,107,26,NaN,,-0.712,1
80,180623,1,3,NaN,NaN,100,2,1,1,1,20,400,NaN,0,0,0,18,0,NaN,,-0.532467532467532,1
80,180623,1,3,NaN,NaN,100,2,1,0,1,20,400,NaN,3,1,0,59,0,NaN,,-0.532467532467532,1
80,180623,1,3,NaN,NaN,100,2,1,1,1,40,400,NaN,0,0,0,20,0,NaN,,-0.56043956043956,1
80,180623,1,3,NaN,NaN,100,2,1,0,1,40,400,NaN,3,14,0,71,0,NaN,,-0.56043956043956,1
80,180623,1,3,NaN,NaN,100,2,1,1,1,60,400,NaN,0,0,0,15,0,NaN,,-0.620253164556962,1
80,180623,1,3,NaN,NaN,100,2,1,0,1,60,400,NaN,3,7,0,64,0,NaN,,-0.620253164556962,1
99,181108,1,1,1,0,150,2,1,0,1,60,400,1,5,0,0.124,40.598,38.618,NaN,,0.238297153792754,0
99,181108,1,1,35,30,150,2,1,1,1,60,400,1,5,0,3,66,36,NaN,,0.238297153792754,0
99,181108,1,1,68,0,100,2,1,0,1,40,400,1,4,0,7,14,8,NaN,,0.717171717171717,0
99,181108,1,1,101,24,100,2,1,1,1,40,400,1,5,0,6,85,53,NaN,,0.717171717171717,0
99,181108,1,2,33,6,100,2,1,0,1,0,400,1,5,1,4.596,72.074,59.64,NaN,,-0.920078855529211,1
99,181108,1,2,67,2,100,2,1,1,1,0,400,1,0,0,0,3,0,NaN,,-0.920078855529211,1
100,181108,1,1,1,0,150,2,1,1,1,60,400,1,1,0,0,11,0,NaN,,-0.565612289223236,1
100,181108,1,1,35,30,150,2,1,0,1,60,400,1,5,0,0,39.646,40.298,NaN,,-0.565612289223236,1
100,181108,1,1,68,0,150,2,1,1,1,40,400,1,0,0,0,0,0,NaN,,-1,1
100,181108,1,1,101,24,150,2,1,0,1,40,400,1,4,0,8.746,10.864,1.262,NaN,,-1,1
99,181109,1,1,1,0,100,2,1,0,1,0,400,1,5,0,0,42.304,50.146,NaN,,-1,1
99,181109,1,1,32,40,100,2,1,1,1,0,400,0,0,0,0,0,0,NaN,,-1,1
100,181109,1,1,144,25,350,2,1,1,1,60,400,1,0,0,0,0,0,NaN,,-1,1
100,181109,1,1,176,26,350,2,1,0,1,60,400,1,5,0,5.298,65.996,43.428,NaN,,-1,1
99,181110,1,1,0,30,150,2,1,0,1,20,400,1,5,0,1.462,49.018,50.274,NaN,,0.240137035142383,0
99,181110,1,1,30,25,150,2,1,1,1,20,400,1,5,0,0,80,33,NaN,,0.240137035142383,0
100,181110,1,1,0,30,300,2,1,1,1,20,400,1,0,0,0,0,3,NaN,,-1,1
100,181110,1,1,30,25,300,2,1,0,1,20,400,1,5,0,3.31,43.888,33.926,NaN,,-1,1
100,181110,1,2,0,30,325,2,1,1,1,60,400,1,0,0,0,9,0,NaN,,-0.297314178638351,0
100,181110,1,2,32,0,325,2,1,0,1,60,400,1,5,0,3.748,16.616,13.432,NaN,,-0.297314178638351,0
100,181110,1,3,1,30,500,2,1,1,1,40,400,1,5,1,15,60,25,NaN,,-0.258765102661033,0
100,181110,1,3,29,28,500,2,1,0,1,40,400,1,5,0,2.55,101.892,45.808,NaN,,-0.258765102661033,0
99,181111,1,1,1,14,150,2,1,0,1,0,400,1,5,0,4.78,37.53,37.634,NaN,,-0.724328049620951,1
99,181111,1,1,34,14,150,2,1,1,1,0,400,1,1,0,0,6,0,NaN,,-0.724328049620951,1
99,181111,1,1,81,50,150,2,1,0,1,40,400,1,5,0,4.01,70.492,32.198,NaN,,-0.709062696988799,1
99,181111,1,1,116,0,150,2,1,1,1,40,400,1,0,0,0,12,0,NaN,,-0.709062696988799,1
99,181111,1,1,150,17,150,2,1,0,1,60,400,1,5,0,5.176,49.224,32.082,NaN,,-0.53288490284006,1
99,181111,1,1,183,14,150,2,1,1,1,60,400,1,1,0,3.012,15,1.986,NaN,,-0.53288490284006,1
99,181111,1,1,218,0,150,2,1,0,1,20,400,1,5,0,6.8,69.534,32.016,NaN,,-0.770799908319963,1
99,181111,1,1,250,58,150,2,1,1,1,20,400,1,1,0,0,9,0,NaN,,-0.770799908319963,1
99,181111,1,1,438,33,750,2,1,0,1,0,400,1,5,0,13.852,46.206,29.018,NaN,,-0.770141363061717,1
99,181111,1,1,468,54,750,2,1,1,1,0,400,1,0,0,0,6,0,NaN,,-0.770141363061717,1
100,181111,1,1,150,17,500,2,1,1,1,60,400,1,5,0,24,43,19,NaN,,-0.275276827397907,0
100,181111,1,1,183,14,500,2,1,0,1,60,400,1,4,1,15.87,75.666,13.364,NaN,,-0.275276827397907,0
100,181111,1,1,218,0,500,2,1,1,1,20,400,1,0,0,0,3,0,NaN,,-0.939846005774783,1
100,181111,1,1,250,58,500,2,1,0,1,20,400,1,5,4,2.252,96.744,35.782,NaN,,-0.939846005774783,1
100,181111,1,1,283,6,500,2,1,1,1,20,400,1,4,0,29,56,12,NaN,,-0.19147584534088,0
100,181111,1,1,313,44,500,2,1,0,1,20,400,1,4,2,1.934,82.524,48.378,NaN,,-0.19147584534088,0
100,181111,1,1,347,0,500,2,1,1,1,60,400,1,0,2,0,1,0,NaN,,-0.978975695904466,1
100,181111,1,1,380,1,500,2,1,0,1,60,400,1,5,0,10.47,94.128,38.248,NaN,,-0.978975695904466,1
100,181111,1,1,500,28,750,2,1,1,1,40,400,1,5,0,32,53,13,NaN,,0.417529219824012,0
100,181111,1,1,532,0,750,2,1,0,1,40,400,1,1,0,2.514,21.778,0,NaN,,0.417529219824012,0
127,200814,3,3,1,0,400,2,1,0,1,0,600,1,3,2,3.482,21.764,9.788,NaN,,-0.067804925915023,0
127,200814,3,3,31,0,400,2,1,1,1,0,600,1,3,5,0.88,19,4,NaN,,-0.067804925915023,0
127,200814,3,3,64,0,300,2,1,0,1,20,600,1,4,0,0,14.584,7,NaN,,0.0462987182840701,0
127,200814,3,3,96,0,300,2,1,1,1,20,600,1,2,0,1.892,16,0,NaN,,0.0462987182840701,0
127,200814,3,4,1,0,300,2,1,0,1,40,600,1,2,2,0,36,35,NaN,,-0.384615384615385,1
127,200814,3,4,31,0,300,2,1,1,1,40,600,1,2,4,4.39,16,16,NaN,,-0.384615384615385,1
127,200814,3,5,1,0,325,2,1,0,1,60,600,1,3,2,2.986,17,13,NaN,,0.105263157894737,0
127,200814,3,5,31,0,325,2,1,1,1,60,600,1,2,0,2.852,21,18,NaN,,0.105263157894737,0
127,200814,3,5,61,30,325,2,1,0,1,60,600,1,4,0,2.688,19.084,11.45,NaN,,0.114102683130629,0
127,200814,3,5,91,30,325,2,1,1,1,60,600,1,2,1,1.302,24,9,NaN,,0.114102683130629,0
127,200814,3,5,122,0,325,2,1,0,1,40,600,1,4,0,0,13.856,12,NaN,,0.156561967372778,0
127,200814,3,5,152,0,325,2,1,1,1,40,600,1,2,0,13.862,19,13,NaN,,0.156561967372778,0
128,200814,3,3,1,0,150,2,1,1,1,0,600,1,5,2,1.742,21,18,NaN,,-0.041970802919708,0
128,200814,3,3,31,0,150,2,1,0,1,0,600,1,5,1,2.196,22.84,19.9,NaN,,-0.041970802919708,0
128,200814,3,3,64,0,100,2,1,1,1,20,600,1,5,3,0,39,35,NaN,,0.0199011480425743,0
128,200814,3,3,96,0,100,2,1,0,1,20,600,1,2,4,2.422,37.478,38.22,NaN,,0.0199011480425743,0
128,200814,3,5,1,0,125,2,1,1,1,60,400,1,4,1,1.018,42,24,NaN,,-0.223027970993044,0
128,200814,3,5,31,0,125,2,1,0,1,60,400,1,5,1,1.202,66.112,66.422,NaN,,-0.223027970993044,0
128,200814,3,5,61,0,110,2,1,1,1,60,400,1,0,0,0,1,0,NaN,,-0.945328303537259,1
128,200814,3,5,91,30,110,2,1,0,1,60,400,1,5,0,2.256,35.582,24.626,NaN,,-0.945328303537259,1
128,200814,3,5,122,0,125,2,1,1,1,40,400,1,5,0,1.994,9,7,NaN,,-0.397307975624456,1
128,200814,3,5,152,0,125,2,1,0,1,40,400,1,5,0,0.43,20.866,45.236,NaN,,-0.397307975624456,1
129,200814,2,1,2,30,50,2,1,0,1,0,400,1,2,3,0.44,29.726,30.906,NaN,,-0.0668628647310053,0
129,200814,2,1,32,30,50,2,1,1,1,0,400,1,2,4,0.66,26,17,NaN,,-0.0668628647310053,0
129,200814,2,1,62,30,75,2,1,0,1,20,400,1,5,1,0,26.032,22.578,NaN,,0.287107021579582,0
129,200814,2,1,92,30,75,2,1,1,1,20,400,1,5,0,34.366,47,23,NaN,,0.287107021579582,0
129,200814,2,1,125,30,60,2,1,0,1,40,400,1,5,0,24.998,24.558,26.332,NaN,,0.115950898160481,0
129,200814,2,1,155,30,60,2,1,1,1,40,400,1,4,0,0,31,26,NaN,,0.115950898160481,0
129,200814,2,1,185,30,50,2,1,0,1,60,400,1,5,0,0.536,30.316,31.442,NaN,,0.194965213234904,0
129,200814,2,1,215,30,50,2,1,1,1,60,400,1,5,1,0.692,45,30,NaN,,0.194965213234904,0
129,200814,2,3,29,0,37,2,1,0,1,40,600,1,5,0,1.158,31.66,22.068,NaN,,0.205121767511926,0
129,200814,2,3,63,0,37,2,1,1,1,40,600,1,5,0,0.298,48,27,NaN,,0.205121767511926,0
130,200814,2,1,62,30,350,2,1,1,1,20,400,1,5,4,0.712,30,10,NaN,,0.0180534817429076,0
130,200814,2,1,92,30,350,2,1,0,1,20,400,1,5,5,1.822,28.936,19.932,NaN,,0.0180534817429076,0
130,200814,2,1,125,30,300,2,1,1,1,40,400,1,5,0,1.378,44,24,NaN,,0.387531140613667,0
130,200814,2,1,155,30,300,2,1,0,1,40,400,1,5,3,0.746,19.422,20.796,NaN,,0.387531140613667,0
130,200814,2,1,185,30,275,2,1,1,1,60,400,1,5,3,0.93,39,29,NaN,,-0.140571630049142,0
130,200814,2,1,215,30,275,2,1,0,1,60,400,1,5,2,31.186,51.758,43.574,NaN,,-0.140571630049142,0
130,200814,2,2,2,0,125,2,1,1,1,60,800,1,2,9,1.47,1,0,NaN,,-0.875,1
130,200814,2,2,32,0,125,2,1,0,1,60,800,1,2,0,0,15,14,NaN,,-0.875,1
127,200815,2,1,63,30,375,2,1,0,1,60,600,1,2,0,0.86,15.856,14,NaN,,0.204335608189482,0
127,200815,2,1,93,30,375,2,1,1,1,60,600,1,2,0,0,24,23,NaN,,0.204335608189482,0
127,200815,2,1,123,30,425,2,1,0,1,60,600,1,2,0,2.258,21.88,13.38,NaN,,0.325524044389642,0
127,200815,2,1,153,30,425,2,1,1,1,60,600,1,2,3,0,43,17,NaN,,0.325524044389642,0
127,200815,2,1,183,30,500,2,1,0,1,40,600,1,4,0,2.946,16.314,14,NaN,,0.246710070646904,0
127,200815,2,1,213,30,500,2,1,1,1,40,600,1,2,2,0,27,7,NaN,,0.246710070646904,0
127,200815,2,1,249,30,500,2,1,0,1,20,600,1,2,0,2.698,22.956,17,NaN,,0.080951237088638,0
127,200815,2,1,279,30,500,2,1,1,1,20,600,1,2,2,0,27,2,NaN,,0.080951237088638,0
127,200815,2,1,312,30,600,2,1,0,1,0,600,1,3,2,14.056,31.552,11.372,NaN,,-0.0596453519613111,0
127,200815,2,1,342,30,600,2,1,1,1,0,600,1,2,3,0,28,13,NaN,,-0.0596453519613111,0
128,200815,2,1,3,30,125,2,1,1,1,20,400,1,5,0,0,27,21,NaN,,0.164897747864354,0
128,200815,2,1,33,30,125,2,1,0,1,20,400,1,5,3,1.308,19.356,17.696,NaN,,0.164897747864354,0
129,200815,3,1,5,0,50,2,1,0,1,20,600,1,2,3,0.812,32.172,32.706,NaN,,0.027624977331802,0
129,200815,3,1,35,30,50,2,1,1,1,20,600,1,2,3,0.2,34,5,NaN,,0.027624977331802,0
129,200815,3,1,65,30,60,2,1,0,1,60,600,1,5,0,0,26.304,28.5,NaN,,0.168962466826741,0
129,200815,3,1,95,30,60,2,1,1,1,60,600,1,4,2,0,37,28,NaN,,0.168962466826741,0
129,200815,3,1,126,0,55,2,1,0,1,60,600,1,5,1,0,51.716,52.92,NaN,,-0.0372658349713186,0
129,200815,3,1,157,30,55,2,1,1,1,60,600,1,5,1,0,48,34,NaN,,-0.0372658349713186,0
129,200815,3,2,3,0,50,2,1,0,1,40,600,1,5,4,0.326,31.77,30.416,NaN,,0.0483750187209825,0
129,200815,3,2,33,30,50,2,1,1,1,40,600,1,4,0,1.186,35,30,NaN,,0.0483750187209825,0
129,200815,3,2,63,30,45,2,1,0,1,20,600,1,2,0,0,25,17,NaN,,0.285714285714286,0
129,200815,3,2,93,30,45,2,1,1,1,20,600,1,5,0,0.71,45,33,NaN,,0.285714285714286,0
129,200815,3,2,128,0,75,2,1,0,1,0,600,1,5,0,0,27.164,29.206,NaN,,-0.0618403565006646,0
129,200815,3,2,158,30,75,2,1,1,1,0,600,1,5,0,0,24,20,NaN,,-0.0618403565006646,0
130,200815,3,1,5,0,300,2,1,1,1,20,600,1,2,4,2.374,27,0,NaN,,0.0587820085486844,0
130,200815,3,1,35,30,300,2,1,0,1,20,600,1,5,0,1.478,24.002,21.174,NaN,,0.0587820085486844,0
130,200815,3,1,65,30,300,2,1,1,1,60,600,1,4,0,1.572,22,16,NaN,,-0.355802172703581,1
130,200815,3,1,95,30,300,2,1,0,1,60,600,1,4,1,1.296,46.302,44.242,NaN,,-0.355802172703581,1
130,200815,3,1,126,0,275,2,1,1,1,60,600,1,5,3,1.326,42,32,NaN,,-0.0344827586206897,0
130,200815,3,1,157,30,275,2,1,0,1,60,600,1,5,2,0,45,30,NaN,,-0.0344827586206897,0
130,200815,3,2,3,0,175,2,1,1,1,40,600,1,5,0,1.854,41,38,NaN,,0.424056128651315,0
130,200815,3,2,33,30,175,2,1,0,1,40,600,1,5,3,0.844,16.582,25.17,NaN,,0.424056128651315,0
130,200815,3,2,63,30,45,2,1,1,1,20,600,1,5,1,1.496,46,27,NaN,,0.46031746031746,0
130,200815,3,2,93,30,45,2,1,0,1,20,600,1,2,1,0,17,15,NaN,,0.46031746031746,0
130,200815,3,2,128,0,75,2,1,1,1,0,600,1,4,0,0.956,53,41,NaN,,0.532190454164378,0
130,200815,3,2,158,30,75,2,1,0,1,0,600,1,5,2,2.134,16.182,17.512,NaN,,0.532190454164378,0
127,200816,2,1,2,30,700,2,1,0,1,0,600,1,5,0,0.662,21.406,13.818,NaN,,0.291262457371784,0
127,200816,2,1,32,30,700,2,1,1,1,0,600,1,3,3,0.288,39,13,NaN,,0.291262457371784,0
127,200816,2,1,62,30,600,2,1,0,1,40,600,1,3,0,0.84,28.088,18.89,NaN,,0.315661241594387,0
127,200816,2,1,92,30,600,2,1,1,1,40,600,1,1,0,0.424,54,13,NaN,,0.315661241594387,0
127,200816,2,1,123,0,600,2,1,0,1,20,600,1,2,0,15.326,19.476,3.286,NaN,,0.310291097103194,0
127,200816,2,1,153,0,600,2,1,1,1,20,600,1,1,0,0.736,37,18,NaN,,0.310291097103194,0
128,200816,2,1,2,30,175,2,1,1,1,0,400,1,5,1,1.28,41,26,NaN,,-0.00204459156849381,0
128,200816,2,1,32,30,175,2,1,0,1,0,400,1,5,1,1.822,41.168,34.29,NaN,,-0.00204459156849381,0
128,200816,2,2,2,0,400,2,1,1,1,60,400,1,5,2,1.822,34,28,NaN,,0.076869477084851,0
128,200816,2,2,32,30,400,2,1,0,1,60,400,1,5,2,1.496,29.146,29.34,NaN,,0.076869477084851,0
128,200816,2,2,62,30,350,2,1,1,1,20,400,1,5,2,0,33,31,NaN,,-0.0312921974989726,0
128,200816,2,2,93,30,350,2,1,0,1,20,400,1,5,0,2.61,35.132,32.85,NaN,,-0.0312921974989726,0
129,200816,3,1,2,30,50,2,1,0,1,0,600,1,5,3,1.8,40.556,37,NaN,,-0.00690203088534681,0
129,200816,3,1,32,30,50,2,1,1,1,0,600,1,5,0,0,40,40,NaN,,-0.00690203088534681,0
129,200816,3,1,62,30,45,2,1,0,1,40,600,1,5,0,0,43.558,40.73,NaN,,0.0380087899467744,0
129,200816,3,1,92,30,45,2,1,1,1,40,600,1,5,0,0,47,29,NaN,,0.0380087899467744,0
129,200816,3,1,125,30,40,2,1,0,1,20,600,1,5,0,0,47.506,48.854,NaN,,-0.00535415740799526,0
129,200816,3,1,155,30,40,2,1,1,1,20,600,1,5,0,0,47,38,NaN,,-0.00535415740799526,0
130,200816,3,1,2,30,300,2,1,1,1,0,600,1,2,2,1.578,23,6,NaN,,-0.143580577896932,0
130,200816,3,1,32,30,300,2,1,0,1,0,600,1,4,5,1.714,30.712,8.538,NaN,,-0.143580577896932,0
130,200816,3,1,62,30,275,2,1,1,1,40,600,1,5,7,1.01,31,21,NaN,,0.00652618591512713,0
130,200816,3,1,92,30,275,2,1,0,1,40,600,1,5,2,1.584,30.598,22.204,NaN,,0.00652618591512713,0
130,200816,3,1,125,30,200,2,1,1,1,20,600,1,5,1,0.994,59,32,NaN,,0.294455780074157,0
130,200816,3,1,155,30,200,2,1,0,1,20,600,1,5,1,1.114,32.158,19.77,NaN,,0.294455780074157,0
130,200816,3,1,189,0,150,2,1,1,1,60,600,1,5,2,1.376,69,36,NaN,,0.585332230493521,0
130,200816,3,1,219,30,150,2,1,0,1,60,600,1,5,0,2.098,18.048,15.412,NaN,,0.585332230493521,0
127,200818,2,1,1,30,450,2,1,0,1,40,600,1,2,0,1.506,23.51,20,NaN,,-0.0331795209843991,0
127,200818,2,1,31,0,450,2,1,1,1,40,600,1,1,0,0,22,11,NaN,,-0.0331795209843991,0
127,200818,2,1,61,0,450,2,1,0,1,0,600,1,3,0,0,26.948,11.11,NaN,,-0.0374990374990375,0
127,200818,2,1,91,0,450,2,1,1,1,0,600,1,1,1,0,25,7,NaN,,-0.0374990374990375,0
127,200818,2,1,121,30,450,2,1,0,1,0,600,1,3,0,1.852,23.856,13.848,NaN,,-0.409262759924386,1
127,200818,2,1,151,30,450,2,1,1,1,0,600,1,1,0,53.906,10,0,NaN,,-0.409262759924386,1
127,200818,2,1,184,30,450,2,1,0,1,40,600,1,1,0,1.348,25.248,4.43,NaN,,-0.115983026874116,0
127,200818,2,1,213,30,450,2,1,1,1,40,600,1,1,1,47.886,20,2,NaN,,-0.115983026874116,0
128,200818,2,1,1,30,175,2,1,1,1,40,400,1,5,2,0.556,9,7,NaN,,-0.481058640373638,1
128,200818,2,1,31,0,175,2,1,0,1,40,400,1,5,3,0.382,25.686,28.462,NaN,,-0.481058640373638,1
128,200818,2,1,61,0,150,2,1,1,1,0,400,1,5,2,0.49,36,11,NaN,,-0.114042427523749,0
128,200818,2,1,91,0,150,2,1,0,1,0,400,1,5,4,0,45.268,43.572,NaN,,-0.114042427523749,0
128,200818,2,1,121,30,150,2,1,1,1,0,400,1,5,3,0.022,19,4,NaN,,-0.197397879440713,0
128,200818,2,1,151,30,150,2,1,0,1,0,400,1,5,2,0.308,28.346,28.312,NaN,,-0.197397879440713,0
128,200818,2,1,184,30,150,2,1,1,1,40,400,1,4,1,0.746,41,14,NaN,,0.153499887463426,0
128,200818,2,1,213,30,150,2,1,0,1,40,400,1,5,1,0.154,30.088,29.798,NaN,,0.153499887463426,0
129,200818,3,1,2,0,45,2,1,0,1,40,400,1,2,3,0.368,36.038,38.358,NaN,,-0.756323407573468,1
129,200818,3,1,33,0,45,2,1,1,1,40,400,1,2,0,0.666,5,0,NaN,,-0.756323407573468,1
129,200818,3,1,72,0,50,2,1,0,1,0,400,1,4,3,0,23.144,9.262,NaN,,0.26694539465349,0
129,200818,3,1,102,0,50,2,1,1,1,0,400,1,5,2,0.166,40,8,NaN,,0.26694539465349,0
129,200818,3,1,132,0,50,2,1,0,1,0,600,1,5,1,0,30.322,29.046,NaN,,0.18403702806706,0
129,200818,3,1,162,0,50,2,1,1,1,0,600,1,5,0,0.19,44,42,NaN,,0.18403702806706,0
129,200818,3,1,192,0,45,2,1,0,1,40,600,1,5,0,0.736,50.876,41.22,NaN,,-0.00868392878385342,0
129,200818,3,1,222,0,45,2,1,1,1,40,600,1,5,0,0.188,50,38,NaN,,-0.00868392878385342,0
129,200818,3,1,252,0,40,2,1,0,1,20,600,1,5,0,1.122,36.762,36.786,NaN,,-0.0245533847997547,0
